gender,fav.season,handedness,ideal.weight,year,college,from.US,from.MN,live.on.campus,shower,entertainment,hair.cost,fav.social.network,hours.social.networks,exercise,zzz.week,zzz.weekend,political.position,legalizing.marijuana,high.school.GPA,college.GPA,tattoos,traffic.tickets,text.drive,geographic.region,expected.grade
Female,Summer,Right,100,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,50,100,Instagram,8,1,6,8,Liberal,Yes,3.9,0,0,0,No,Asia,A
Female,Fall,Right,100,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Morning,200,0,Instagram,7,1,6,10,Moderate,No,3.9,4,0,0,No,Africa,A
Female,Summer,Right,100,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Depends,10,60,Others,1,1,6,9,Not sure,Not sure,3.96,0,0,1,No,North America,A
Female,Fall,Right,102,Freshman,College of Biological Sciences (CBS),U.S.,Yes,No,Evening,30,22,YouTube,5,0,6,10,Not sure,Not sure,3.9,0,0,0,No,Prefer not to answer,A
Female,Fall,Right,110,Freshman,College of Design,U.S.,No,Yes,Evening,0,200,Facebook,2,2,7,9,Moderate,Yes,3.4,0,0,0,No,North America,B
Female,Summer,Right,110,Freshman,College of Liberal Arts,U.S.,Yes,No,Evening,50,0,Facebook,8,0,8,10,Not sure,Not sure,3.8,0,0,0,No,Central America,A
Female,Fall,Right,110,Freshman,College of Biological Sciences (CBS),U.S.,Yes,No,Evening,0,0,Twitter,2,1.5,7,10,Liberal,Yes,3.9,0,0,0,No,North America,B
Female,Summer,Right,110,Freshman,College of Liberal Arts,U.S.,Yes,Yes,Depends,30,10,Instagram,4,1,8,10,Moderate,Not sure,4,0,0,0,No,Asia,A
Female,Summer,Right,110,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,30,200,YouTube,4,2,8,8,Moderate,No,3.8,4,0,0,No,Europe,A
Female,Fall,Right,110,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Morning,15,15,Instagram,1.5,5,7,9,Liberal,Not sure,3.82,4,0,0,No,Asia,A
Female,Spring,Right,115,Freshman,College of Biological Sciences (CBS),U.S.,Yes,No,Depends,100,20,YouTube,3,0.5,7,7,Moderate,Not sure,4,0,0,0,Yes,South America,A
Female,Fall,Right,115,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Evening,20,50,Instagram,3,1,7,8,Not sure,Yes,3.8,0,0,1,No,North America,A
Female,Fall,Right,115,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Morning,25,15,Others,6,1,6,4,Liberal,Yes,3.975,0,0,1,No,North America,B
Female,Spring,Right,116,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,5,40,Others,1,0.5,6.5,8,Moderate,Not sure,4,0,0,0,No,North America,A
Female,Summer,Right,120,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Depends,30,22,Instagram,3,1,8,9,Moderate,Not sure,3.8,0,0,0,No,North America,A
Female,Fall,Right,120,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,15,40,Instagram,18,5,5,7,Liberal,Yes,3.8,0,0,0,No,North America,A
Female,Summer,Right,120,Freshman,College of Biological Sciences (CBS),U.S.,Yes,No,Evening,15,20,YouTube,3,1,8,9,Liberal,Not sure,3.9,0,0,0,No,Asia,Prefer not to answer
Female,Fall,Right,120,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Evening,0,35,Instagram,2,1,8,8,Liberal,Not sure,3.98,0,0,0,No,North America,A
Female,Fall,Right,120,Freshman,College of Liberal Arts,U.S.,Yes,Yes,Morning,15,20,Instagram,3,2,7,8.5,Moderate,No,4,0,0,0,Yes,North America,A
Female,Spring,Right,120,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,15,70,Instagram,2,1,6,7,Liberal,Not sure,4,0,0,0,No,North America,B
Female,Fall,Right,120,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Depends,0,30,Instagram,0.5,1,7,8,Liberal,Not sure,4,0,0,0,No,North America,A
Female,Spring,Right,120,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Depends,25,21,Instagram,4,1,6,8,Liberal,Not sure,4,4,0,0,No,Asia,A
Female,Fall,Left,120,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Morning,25,90,Instagram,3,2,9,7,Liberal,Yes,3.95,4,1,0,Yes,North America,A
Female,Fall,Right,120,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,15,25,YouTube,3,1,7,8,Liberal,Not sure,3.9,0,0,1,No,North America,A
Female,Fall,Right,120,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Evening,5,25,Others,3,2,6,6,Liberal,Yes,4,0,0,1,No,North America,B
Female,Fall,Right,125,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Depends,20,60,Instagram,3,1,6,8,Moderate,Yes,3.8,0,0,0,No,North America,B
Female,Fall,Right,125,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,30,0,Instagram,3,1.5,7,9,Conservative,No,3.89,0,0,0,No,North America,A
Female,Spring,Right,125,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Evening,45,40,YouTube,3.5,1,7,6,Moderate,No,4,0,0,0,No,North America,A
Female,Fall,Right,125,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,10,20,Twitter,2,0.5,7,9,Moderate,Not sure,4,0,0,0,No,North America,A
Female,Winter,Right,125,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,50,35,Instagram,3,3,7,8,Liberal,Yes,4,4,0,0,No,Asia,A
Female,Fall,Right,125,Freshman,College of Biological Sciences (CBS),U.S.,Yes,No,Depends,0,40,Instagram,3,1,7,8.5,Moderate,Yes,3.75,3.3,1,0,No,North America,A
Female,Summer,Right,125,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Depends,20,130,Instagram,1,1,7,7,Liberal,Yes,3.9,0,1,1,Yes,North America,A
Male,Fall,Right,125,Freshman,College of Liberal Arts,International,No,Yes,Evening,50,15,Others,2,2,7,8,Moderate,Not sure,0,0,0,1,No,Asia,A
Female,Summer,Right,128,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,10,120,Instagram,1.5,1,8,9.5,Liberal,Yes,3.86,3.87,0,0,No,North America,A
Female,Fall,Right,130,Freshman,College of Liberal Arts,U.S.,Yes,No,Depends,0,45,Twitter,2,1,5,8,Moderate,Not sure,3.6,0,0,0,No,North America,Prefer not to answer
Female,Fall,Right,130,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,175,0,YouTube,2,1,7,6,Liberal,Not sure,3.887,4,0,0,No,Asia,A
Female,Summer,Right,130,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,50,0,YouTube,3,2,7,5,Moderate,Yes,4,0,0,1,No,North America,B
Male,Winter,Right,130,Freshman,College of Liberal Arts,U.S.,Yes,No,Depends,10,15,Instagram,2,1,8,10,Moderate,Not sure,3.8,4,0,0,No,Asia,A
Female,Summer,Right,135,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,20,40,Instagram,1.5,1,7,9,Liberal,Yes,3.9,0,0,0,No,North America,A
Female,Fall,Right,135,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Morning,50,120,Others,3,3,7,6,Moderate,Not sure,3.97,0,0,0,No,North America,A
Female,Fall,Right,135,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Evening,40,70,Instagram,4,1.5,7,10,Liberal,Yes,3.97,0,0,0,No,North America,A
Female,Winter,Right,135,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,100,40,Others,1,4,8,8,Not sure,Yes,3.9,0,1,1,No,North America,A
Male,Summer,Right,135,Freshman,College of Liberal Arts,U.S.,Yes,Yes,Depends,100,15,Instagram,6,1,7,8,Not sure,Not sure,3.9,0,0,0,Yes,North America,F
Male,Fall,Right,135,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Morning,0,15,Instagram,5,2,7,9,Moderate,No,4,0,0,0,No,North America,A
Female,Fall,Right,140,Freshman,College of Liberal Arts,U.S.,Yes,Yes,Evening,0,90,Others,4,0,6,8,Liberal,Yes,3.83,3.66,0,0,No,North America,A
Female,Summer,Right,145,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Depends,10,80,Instagram,3,1,7,8,Moderate,Yes,4,0,0,0,No,North America,A
Male,Fall,Right,145,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Evening,0,25,Instagram,2,2,8,8,Moderate,Yes,4,0,0,0,Yes,Europe,A
Male,Fall,Left,145,Freshman,College of Liberal Arts,U.S.,Yes,Yes,Depends,50,0,Instagram,2,1.5,8,10,Liberal,Yes,3.7,0,1,0,No,North America,B
Female,Spring,Right,150,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,40,50,Instagram,5,2,7,8,Liberal,Not sure,3.96,0,0,0,Yes,North America,B
Female,Summer,Right,150,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Morning,30,18,Instagram,1,1,7,8,Not sure,No,3.99,0,0,0,No,North America,A
Female,Winter,Right,150,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Depends,0,30,YouTube,2,1,7,7,Not sure,Not sure,4,0,0,0,No,Middle East,A
Male,Winter,Right,150,Freshman,College of Biological Sciences (CBS),U.S.,Yes,No,Morning,50,20,Facebook,5,2,8,10,Moderate,Not sure,3.7,0,0,0,No,Asia,A
Male,Summer,Right,155,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Morning,20,16,Instagram,5,4,8,9,Liberal,No,3.91,0,0,0,No,Asia,A
Male,Winter,Right,155,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Morning,20,18,Others,5,1,8,9.5,Conservative,Yes,4,0,0,0,No,North America,A
Female,Fall,Right,160,Freshman,College of Liberal Arts,U.S.,Yes,Yes,Evening,2000,60,Instagram,3,1,6,10,Moderate,No,3.59,0,0,0,No,North America,B
Female,Fall,Right,160,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Morning,5,30,Instagram,1,1,7,8,Liberal,Not sure,4,0,0,0,No,North America,B
Male,Summer,Right,160,Freshman,College of Liberal Arts,U.S.,Yes,Yes,Morning,0,0,YouTube,3,1,7,9,Conservative,No,3.65,0,0,0,No,North America,A
Male,Summer,Right,160,Freshman,College of Liberal Arts,U.S.,Yes,Yes,Evening,60,15,Others,3,2,7,7,Conservative,Yes,3.85,3.9,0,0,Yes,North America,A
Male,Fall,Right,165,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Depends,0,17,YouTube,3,2,7,12,Conservative,Yes,3.66,0,0,0,Yes,North America,A
Male,Fall,Right,165,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Morning,20,0,Instagram,4,2,7,10,Liberal,Not sure,3.7,0,0,0,No,North America,A
Male,Winter,Right,165,Freshman,College of Biological Sciences (CBS),U.S.,No,No,Evening,50,20,Instagram,2,1,7,9,Moderate,Not sure,4,0,0,0,No,North America,B
Male,Fall,Right,166,Freshman,College of Liberal Arts,International,No,Yes,Evening,20,10,Others,2,2,8,10,Conservative,No,3.5,0,0,0,No,Asia,A
Male,Fall,Right,170,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Morning,100,14,YouTube,1,2,7,6,Liberal,Not sure,3.65,0,1,0,No,North America,A
Male,Fall,Left,180,Freshman,College of Liberal Arts,U.S.,Yes,Yes,Morning,40,18,YouTube,3,2,7,6,Moderate,Not sure,3.65,0,0,0,No,North America,B
Male,Fall,Right,180,Freshman,College of Liberal Arts,U.S.,No,Yes,Morning,400,20,Twitter,4,1,8,10,Liberal,Not sure,3.9,0,0,0,No,North America,A
Male,Fall,Right,180,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Morning,0,15,Instagram,2,1,8,8,Liberal,Yes,3.99,0,0,0,No,North America,A
Female,Fall,Right,185,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Depends,10,70,Instagram,5,1,9,11,Liberal,Yes,4,0,0,0,No,North America,A
Male,Winter,Right,185,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Morning,10,0,YouTube,1,1.5,8,6,Conservative,Yes,4,0,0,0,No,North America,A
Male,Spring,Right,190,Freshman,College of Biological Sciences (CBS),U.S.,No,No,Morning,10,25,YouTube,2,1,7,7,Moderate,Not sure,0,0,0,0,No,Africa,A
Male,Summer,Right,197,Freshman,College of Biological Sciences (CBS),U.S.,Yes,No,Morning,10,42,Others,1,2,8,10,Conservative,No,3.75,0,0,0,No,North America,A
Male,Spring,Right,217,Freshman,College of Biological Sciences (CBS),U.S.,Yes,Yes,Evening,20,12,Instagram,2,2,7,9,Not sure,Yes,3.94,0,0,0,No,Asia,A
Female,Spring,Right,231.49,Freshman,College of Liberal Arts,International,No,Yes,Depends,300,10,Others,3,1,7.5,8.5,Not sure,No,3.89,0,0,0,No,Asia,A
Male,Winter,Right,300,Freshman,College of Biological Sciences (CBS),U.S.,No,Yes,Depends,50,20,YouTube,3,1,7,9,Liberal,Yes,4,0,0,0,No,North America,A
Female,Summer,Right,103,Junior,College of Liberal Arts,International,No,Yes,Depends,300,30,YouTube,2,1.5,7,9,Moderate,Not sure,0,0,0,0,No,Asia,A
Female,Summer,Right,106,Junior,College of Liberal Arts,International,No,No,Depends,80,30,Instagram,3,1,7,8,Not sure,No,3.6,3.8,0,0,No,Asia,A
Female,Fall,Right,106,Junior,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,No,Morning,10,80,Others,1.5,1,7,10,Liberal,No,3.5,3.2,1,0,No,North America,B
Female,Fall,Right,110,Junior,College of Liberal Arts,U.S.,Yes,No,Evening,50,75,Twitter,4,2,6,8,Moderate,Yes,3.6,3,0,0,No,North America,A
Female,Fall,Right,110,Junior,College of Biological Sciences (CBS),U.S.,Yes,No,Depends,50,180,YouTube,4,1,7,8,Liberal,Yes,3.7,3.3,0,0,No,North America,A
Female,Fall,Right,110,Junior,College of Biological Sciences (CBS),U.S.,No,Yes,Evening,15,50,Instagram,1,1,7,8,Liberal,Yes,3.9,3.8,0,0,No,Europe,A
Female,Fall,Right,110,Junior,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,No,Depends,0,50,YouTube,1,1,7,7,Liberal,Yes,3.2,2.9,3,2,No,North America,B
Female,Fall,Right,110,Junior,College of Liberal Arts,International,No,No,Evening,100,150,Instagram,2,0.8,6,8,Conservative,Not sure,0,0,0,5,No,Asia,A
Female,Fall,Right,112,Junior,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,No,No,Evening,20,80,Twitter,1,1,7,9,Liberal,Yes,4,3.7,7,0,No,North America,B
Female,Fall,Right,115,Junior,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,No,Depends,55,50,Instagram,2,1,8,7,Not sure,Yes,3,3.2,7,1,No,North America,A
Female,Fall,Right,117,Junior,College of Liberal Arts,U.S.,Yes,No,Morning,0,20,YouTube,4,1.5,8,8,Conservative,Yes,0,3.8,0,0,No,North America,A
Female,Summer,Right,120,Junior,College of Liberal Arts,U.S.,Yes,Yes,Depends,20,100,Instagram,3,0,8,8,Liberal,Yes,3.2,2.5,0,0,No,North America,B
Female,Fall,Right,120,Junior,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,No,Evening,25,125,Instagram,1,0,6,8,Liberal,Yes,3.4,3.1,0,0,No,North America,A
Female,Spring,Right,120,Junior,College of Science of Engineering,U.S.,Yes,Yes,Depends,0,60,YouTube,0.5,1,7,9,Liberal,Not sure,4,3.5,0,0,No,North America,A
Female,Fall,Left,120,Junior,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,Yes,Depends,12,15,YouTube,6,2,9,12,Liberal,Yes,3.8,3.1,1,0,Yes,North America,B
Female,Fall,Right,120,Junior,College of Biological Sciences (CBS),U.S.,No,Yes,Evening,20,20,Instagram,2,1,7,9,Liberal,Yes,4,3.7,2,0,No,North America,A
Female,Summer,Right,120,Junior,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,No,Evening,20,0,Instagram,8,1,7,9,Moderate,Yes,3.95,2.8,3,0,No,North America,C
Female,Summer,Right,120,Junior,College of Education and Human Development,U.S.,No,Yes,Evening,120,80,Others,5,1,7,9,Conservative,No,3.9,3.7,1,1,No,North America,A
Female,Winter,Right,120,Junior,College of Liberal Arts,U.S.,Yes,No,Morning,0,15,Others,3,1,7,9,Moderate,Yes,3.8,2.3,1,2,No,Asia,B
Female,Fall,Right,121,Junior,College of Liberal Arts,International,No,No,Depends,10,180,Twitter,3,2,6,9,Moderate,Not sure,3.2,3.6,0,0,Yes,Asia,A
Female,Fall,Right,124,Junior,College of Liberal Arts,U.S.,Prefer not to answer,No,Evening,5,0,YouTube,3,0.25,6,7,Liberal,Yes,3.77,3.2,0,0,No,Africa,A
Female,Summer,Right,125,Junior,College of Education and Human Development,U.S.,Yes,No,Depends,50,22,Instagram,2,1,8,10,Moderate,Yes,3.7,3.2,0,0,Yes,North America,A
Female,Summer,Left,125,Junior,College of Liberal Arts,U.S.,Yes,Yes,Depends,40,7,YouTube,3,1,8,9,Liberal,Not sure,3.7,3.4,0,0,No,North America,A
Female,Summer,Right,125,Junior,College of Biological Sciences (CBS),U.S.,Yes,No,Evening,12,40,Instagram,4,1,7,7,Not sure,Not sure,4,3.7,0,0,No,North America,A
Female,Fall,Right,129,Junior,College of Liberal Arts,U.S.,Yes,No,Evening,50,0,YouTube,2,0.5,7,8,Not sure,Not sure,3.89,3.4,0,0,No,Africa,A
Female,Winter,Right,130,Junior,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,Yes,No,Depends,40,20,Instagram,1,1,6.5,8,Liberal,Yes,3.91,3.5,0,0,No,North America,A
Female,Fall,Left,130,Junior,College of Biological Sciences (CBS),U.S.,Yes,Yes,Depends,20,120,Twitter,2,1,7,8,Liberal,Yes,4,3.7,0,0,No,North America,A
Female,Fall,Right,130,Junior,College of Biological Sciences (CBS),U.S.,Yes,No,Evening,0,0,Instagram,5,3,6,10,Liberal,Yes,3.67,3.559,1,0,No,North America,A
Female,Summer,Right,130,Junior,College of Liberal Arts,U.S.,Yes,Yes,Depends,50,0,Instagram,3,0,8,9,Liberal,Yes,3.56,3.2,2,1,Yes,North America,B
Female,Fall,Right,135,Junior,College of Biological Sciences (CBS),U.S.,Yes,No,Evening,30,150,Instagram,2,1,6,9,Liberal,Yes,4,3.3,0,0,No,North America,A
Female,Summer,Right,135,Junior,College of Biological Sciences (CBS),U.S.,No,No,Depends,20,245,Twitter,2,3,5,5,Moderate,Not sure,4,3.8,4,1,No,North America,A
Female,Fall,Right,135,Junior,College of Liberal Arts,U.S.,No,No,Evening,45,40,Instagram,7,5,9,11,Liberal,Yes,3.8,3.5,5,2,No,North America,A
Female,Fall,Right,140,Junior,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",Prefer not to answer,Prefer not to answer,Prefer not to answer,Morning,20,0,YouTube,2,0,6,10,Not sure,No,4,3.3,0,0,No,Prefer not to answer,Prefer not to answer
Female,Fall,Right,140,Junior,College of Liberal Arts,International,No,No,Depends,100,100,Instagram,4,2,12,12,Liberal,Yes,4,3.3,0,0,No,Asia,A
Female,Winter,Right,140,Junior,College of Liberal Arts,U.S.,No,No,Evening,25,40,Instagram,4,1,7,10,Moderate,Yes,3.85,3.5,0,0,Yes,North America,A
Female,Fall,Right,140,Junior,College of Biological Sciences (CBS),U.S.,Yes,No,Morning,50,50,Instagram,4,1,7,7,Conservative,No,4,3.9,0,0,Yes,North America,A
Male,Winter,Right,140,Junior,College of Liberal Arts,U.S.,Yes,No,Depends,0,0,Instagram,2,0,6,10,Liberal,Yes,3.7,3.8,0,1,No,North America,A
Female,Fall,Right,142,Junior,College of Liberal Arts,U.S.,No,No,Evening,60,25,Instagram,8,6,5,8,Moderate,Not sure,3.6,3.2,0,0,Yes,Africa,A
Male,Summer,Right,145,Junior,College of Biological Sciences (CBS),U.S.,Yes,No,Evening,20,15,YouTube,6,1,6,8,Liberal,Yes,3.97,3.34,0,0,No,Asia,A
Female,Fall,Right,150,Junior,College of Biological Sciences (CBS),U.S.,Yes,No,Evening,10,120,YouTube,2,0.5,7,9,Liberal,Yes,4,3.23,0,0,No,North America,B
Female,Summer,Right,150,Junior,College of Biological Sciences (CBS),U.S.,Yes,No,Depends,10,60,Others,2,2,8,8,Moderate,Yes,3.996,3.96,0,0,No,Europe,A
Female,Spring,Left,150,Junior,"College of Food, Agricultural and Natural Resource Sciences (CFANS)",U.S.,No,Yes,Evening,50,40,Others,2,1.5,7,9,Liberal,Yes,3.8,3.5,1,0,No,North America,B
